"stock_id", "Title", "barcode", "category", "price"
"BP-M-Mouthpiece5","Plastic Mouthpiece 5&quot;","*BP-M-MOUTHPIECE5*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece5","Plastic Mouthpiece 5&quot;","*BP-M-MOUTHPIECE5*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece5","Plastic Mouthpiece 5&quot;","*BP-M-MOUTHPIECE5*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-M-Mouthpiece6","Plastic Mouthpiece 6&quot;","*BP-M-MOUTHPIECE6*","Bagpipe Parts","0","0",
"BP-Ross-Bag-Used","Ross Synthetic Bag &amp;#150; Used.  ","*BP-ROSS-BAG-USED*","Bagpipe Parts","0","0",
"BP-M-RubberValve","Rubber Blowstick Valve","*BP-M-RUBBERVALVE*","Bagpipe Parts","0","0",
"BP-M-RubberValve","Rubber Blowstick Valve","*BP-M-RUBBERVALVE*","Bagpipe Parts","0","0",
"BP-M-RubberValve","Rubber Blowstick Valve","*BP-M-RUBBERVALVE*","Bagpipe Parts","0","0",
"BP-M-RubberValve","Rubber Blowstick Valve","*BP-M-RUBBERVALVE*","Bagpipe Parts","0","0",
"BP-M-RubberValve","Rubber Blowstick Valve","*BP-M-RUBBERVALVE*","Bagpipe Parts","0","0",
"BP-Tone","Shepherd Tone Enhancers","*BP-TONE*","Bagpipe Parts","0","0",
"BP-Tone","Shepherd Tone Enhancers","*BP-TONE*","Bagpipe Parts","0","0",
"BP-Tone","Shepherd Tone Enhancers","*BP-TONE*","Bagpipe Parts","0","0",
"BP-R-Extend","Drone Reed Extenders","*BP-R-EXTEND*","Bagpipe Reeds","0","0",
"BP-R-Elliot","Elliot Chanter Reed","*BP-R-ELLIOT*","Bagpipe Reeds","0","0",
"BP-R-Elliot-M","Elliot Chanter Reed (Medium)","*BP-R-ELLIOT-M*","Bagpipe Reeds","0","0",
"ezdrone","EZ Drone Reeds ","*EZDRONE*","Bagpipe Reeds","0","0",
"ezdrone","EZ Drone Reeds ","*EZDRONE*","Bagpipe Reeds","0","0",
"BP-R-G1","G1 Chanter Reed","*BP-R-G1*","Bagpipe Reeds","0","0",
"BP-R-G1","G1 Chanter Reed","*BP-R-G1*","Bagpipe Reeds","0","0",
"BP-R-G1","G1 Chanter Reed","*BP-R-G1*","Bagpipe Reeds","0","0",
"BP-R-G1","G1 Chanter Reed","*BP-R-G1*","Bagpipe Reeds","0","0",
"BP-R-G1","G1 Chanter Reed","*BP-R-G1*","Bagpipe Reeds","0","0",
"BP-R-JT2-M","JT2 Ridged Reed - Medium","*BP-R-JT2-M*","Bagpipe Reeds","0","0",
"BP-R-JT2","JT2 Ridged Reed - Weak","*BP-R-JT2*","Bagpipe Reeds","0","0",
"BP-R-JT2","JT2 Ridged Reed - Weak","*BP-R-JT2*","Bagpipe Reeds","0","0",
"BP-R-McAllister","McAllister Reed - Weak","*BP-R-MCALLISTER*","Bagpipe Reeds","0","0",
"BP-R-McAllister","McAllister Reed - Weak","*BP-R-MCALLISTER*","Bagpipe Reeds","0","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","Bagpipe Reeds","0","0",
"BP-R-Megarity-M","Megarity Chanter Reed (Medium)","*BP-R-MEGARITY-M*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
