"stock_id","SKU","Image_URL","category","Title","description","long_description","price","instock","managestock","virtual","downloadable","tax_status","tax_class","allow_backorders","shipping_weight","shipping_length","shipping_width","shipping_height","shipping_class","cross_sell_SKUs","upsell_SKUs","tags",
"BP-CH-D-Poly","BP-CH-D-Poly",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BP-CH-D-Poly.jpg","Pipe Chanter","Bagpipes Poly Chanter - Dunbar","Bagpipes Poly Chanter - Dunbar","The Dunbar Pipe Chanter - Dunbar Pipe Chanter is a good pipe chanter and well balanced across all notes. The chanter usually pitches between 478 Hz and 482 Hz. A good pipe chanter is the most important part of the bagpipe, so it is important to get the correct one for your needs. ","200","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"gp-pc217f","gp-pc217f",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/gp-pc217f.jpg","Drum Cases Carriers","Gator  Protechtor Marching Snare Case, Black, Foam","Gator  Protechtor Marching Snare Case, Black, Foam","This foam lined hard case will snugly hold a standard 14&quot; x 17&quot; marching snare, protecting it from marching season wear-and-tear with rotationally molded technology. This case also features a buckle-style strap as well as two carrying handles.

Gator Protechtor cases are considered the industry standard, featuring a rotational molding process that strengthens every corner. This process also makes the case more waterproof than a case not made with rotational molding. ","255.6","2","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"MAJ-MCTC1210S","MAJ-MCTC1210S",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/MAJ-MCTC1210S.jpg","Drum Set","Concert Tom 12&quot;x10&quot; Single Head","Concert Tom 12&quot;x10&quot; Single Head","Concert Tom 12&quot;x10&quot;(single headed)","190.48","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"u-kilt-used","u-kilt-used",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/u-kilt-used.jpg","Kilt","Kilt - used","Kilt - used","Used kilt","750","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"BM-78-Cascade","BM-78-Cascade",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BM-78-Cascade.jpg","Music CD&#039;s &amp; DVD&#039;s","78th Fraser Highlanders Cascade","78th Fraser Highlanders Cascade","78th Fraser Highlanders Pipe Band - Cascade. Although this recording is not a new one, it has been re-released. This is a great recording from one of the worlds most innovative pipe band. There are a lot of great tracks on this album","19.05","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"J-Ring-Claddagh","J-Ring-Claddagh",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/J-Ring-Claddagh.jpg","Jewelry","Claddagh Ring","Claddagh Ring","Claddagh Ring - This classic Claddagh ring is made of .925 Sterling Silver. The rings come in size 5 through 11. This is a great item to discreetly show your Celtic side.","20.96","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"BM-NUN-Wizards","BM-NUN-Wizards",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BM-NUN-Wizards.jpg","Music CD&#039;s &amp; DVD&#039;s","Nunawading Wizards from Oz","Nunawading Wizards from Oz","Nunawading Pipe Band - Wizards From Oz. This CD from Australia features one of the up and coming Australian bands on the world scene. This group has a lot of the same influences as the old Victoria Police Pipe Band. It is a good listen. ","19.05","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"PC-PC-Long","PC-PC-Long",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/PC-PC-Long.jpg","Practice Chanter","Pipers Choice Long Chanter","Pipers Choice Long Chanter","Pipers&#039; Choice Long - This Pipers&#039; Choice long practice chanter is longer in length than the regular length practice chanter. It has the same hole spacing as a highland bagpipe chanter. It is an economical practice chanter that provides a good tone. Pipers&#039; Choice practice chanters are the most popular brand of practice chanters that we sell. All practice chanters have counter sunk holes, and come with a practice chanter reed. ","78","2","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"PC-PC-Reg-Deluxe","PC-PC-Reg-Deluxe",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/PC-PC-Reg-Deluxe.jpg","Practice Chanter","Pipers Choice Regular Chanter Deluxe","Pipers Choice Regular Chanter Deluxe","Pipers&#039; Choice Deluxe Regular - This Pipers&#039; Choice Deluxe practice chanter is a regular length practice chanter. It comes with an imitation Ivory sole and ferrule. This is an economical practice chanter that provides a good tone. Pipers&#039; Choice practice chanters are the most popular brand of practice chanters that we sell. All practice chanters have counter sunk holes, and come with a practice chanter reed. ","85.72","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"PC-PC-Long-Deluxe","PC-PC-Long-Deluxe",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/PC-PC-Long-Deluxe.jpg","Practice Chanter","Pipers Choice Long Chanter Deluxe","Pipers Choice Long Chanter Deluxe","Pipers&#039; Choice Deluxe Long - This Pipers&#039; Choice Deluxe Long practice chanter is longer in length than the regular length practice chanter. It has the same hole spacing as a highland bagpipe chanter. It comes with an imitation Ivory sole and ferrule. This is an economical practice chanter that provides a good tone. Pipers&#039; Choice practice chanters are the most popular brand of practice chanters that we sell. All practice chanters have counter sunk holes, and come with a practice c","95.24","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"PC-PC-WaterTrap","PC-PC-WaterTrap",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/PC-PC-WaterTrap.jpg","Practice Chanter","Pipers Choice Chanter Mouthpiece with Water Trap","Pipers Choice Chanter Mouthpiece with Water Trap","Practice Chanter Top with Water Trap - This practice chanter top is made by Pipers&#039; Choice, it is designed to fit any of their practice chanters. It is made of polypenco. The water trap is built into the top of the practice chanter mouthpiece, and is easily emptied by tipping the mouthpiece upside-down. This can be added on to the price of any of the Pipers&#039; Choice practice chanters or ordered separately. This practice chanter top can fit most practice chanters on the market.","23.82","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"MAJ-MCTC1010S","MAJ-MCTC1010S",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/MAJ-MCTC1010S.jpg","Drum Set","Concert Tom 10&quot;x10&quot; Single Head","Concert Tom 10&quot;x10&quot; Single Head","Concert Tom 10&quot;x10&quot;(single headed)","190.48","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"bp-reb","bp-reb",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/bp-reb.jpg","Practice Chanter","Ross Electronic Bagpipes","Ross Electronic Bagpipes","The Ross Electronic Bagpipe is an affordable, high quality digital instrument. The unit can be programmed to play in the regular key of b-flat or one of seven different keys to match the pitch of other instruments. This gives you the versatility of being able to play along with many different instruments. This way the piper is no longer the only person in the group who is bound to just playing in one key. As well, there is a harmony button where it will automatically play harmonies with every no","290.48","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"bp-ftc","bp-ftc",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/bp-ftc.jpg","Practice Chanter","Fagerstrom TechnoChanter","Fagerstrom TechnoChanter","The Fagerstrom electronic Technochanter is a lightweight compact chanter. This full size electronic practice chanter is an ideal complement to your regular practice chanter.
It comes complete with a set
of headphones. This chanter uses earphones to hear you playing. This way you are the only person who hears you practice. It is perfect for practicing on bus&#039;s trains, in bed or at church! As well, this chanter is designed so that you can play a natural C or F. The precision of the electron","300","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"bp-ftp","bp-ftp",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/bp-ftp.jpg","Practice Chanter","Fagerstrom TechnoPipes","Fagerstrom TechnoPipes","TechnoPipes - by Fagerstrom The TechnoPipes are a full size electronic Bagpipe is an ideal complement to your regular practice chanter. It comes complete with a set of headphones. This chanter uses earphones to hear you playing. This way you are the only person who hears you practice. It is perfect for practicing on bus&#039;s trains, in bed or at church! As well, this chanter is designed so that you can play a natural C or F. The precision of the electronics make this chanter unforgiving at det","452.38","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"bp-rmp","bp-rmp",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/bp-rmp.jpg","Practice Chanter","Ross MicroPipes ","Ross MicroPipes ","Micro-Pipes: Electronic Practice Chanter Made by Ross. The Micro-Pipes are an affordable practice chanter that electronically reproduces the sound of the Standard Great highland Bagpipe chanter scale in the key of b flat without drone accompaniment. The notes are played in a very realistic manner by covering electronic touch sensors, positioned to exactly match the finger spacing of a regular pipe chanter. You can increase or lower the volume of the unit to suit your requirements. This unit take","200","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"pc-dunbar-r-pcrl1","pc-dunbar-r-pcrl1",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/pc-dunbar-r-pcrl1.jpg","Practice Chanter","Dunbar Poly Regular Practice Chanter","Dunbar Poly Regular Practice Chanter","Dunbar Regular Length Practice Chanter -  Polypenco practice chanter.  The total length is 18.625&quot; long, with countersunk finger holes and rubber O rings instead of hemp.
","78","2","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"pc-dunbar-r-pccl","pc-dunbar-r-pccl",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/pc-dunbar-r-pccl.jpg","Practice Chanter","Dunbar Poly Child Practice Chanter","Dunbar Poly Child Practice Chanter","Dunbar Child Length Practice Chanter -  Polypenco practice chanter.  The total length is 15 1/4&quot; long, with countersunk finger holes and rubber O rings instead of hemp.

This chanter uses the same bottom section as the Dunbar regular practice chanter so when your child outgrows this, simply purchase a regular practice chanter top and the chanter now becomes a regular length practice chanter.","78","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"pc-dunbar-long-delux","pc-dunbar-long-delux",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/pc-dunbar-long-delux.jpg","Practice Chanter","Dunbar Deluxe Poly Long PC","Dunbar Deluxe Poly Long PC","Dunbar Deluxe Poly Long PC -  Top Section Ferrule - Available in plain or hand engraved imitation ivory or aluminum.   Bottom Section Sole - Available in plain or hand engraved imitation ivory or aluminum ","121.5","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"pc-dunbar-ld-pcxl4a","pc-dunbar-ld-pcxl4a",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/pc-dunbar-ld-pcxl4a.jpg","Practice Chanter","Dunbar Deluxe Poly Long PC - Aluminum Ferrule and Sole","Dunbar Deluxe Poly Long PC - Aluminum Ferrule and Sole","Dunbar Deluxe Poly Long Practice Chanter -  Top Section Ferrule plain aluminum.   Bottom Section Sole plain aluminum.  - includes removable watertrap to keep excessive moisture away from your reed.

All ferrules and soles are threaded.  Also has countersunk finger holes with pipe chanter spacing.","121.5","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"BP-R-Warnock-H","BP-R-Warnock-H",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BP-R-Warnock-H.jpg","Bagpipe Reeds","Warnock Chanter Reed Hard","Warnock Chanter Reed Hard","Warnock Chanter Reed Hard","25","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
